"","ObjectID","GlobalID","Form_Version","Team.Name","Region","Incident_UUID","Incident.Number","Type.of.Incident","Incident.Start.Date.and.Time","Number.of.Operational.Periods","Primary.Response.Area","Number.of.Volunteers.Supporting.the.Incident","Total.Volunteer.Hours.on.the.Incident","Total.Volunteer.Mileage","Aircraft.Used","Area.Type","Land.Ownership","Total.Number.of.Subjects","Subject.Category","Subject.1..Age","Subject.1..Gender","Subject.1..Level.of.Fitness","Subject.1..Level.of.Experience","Number.of.Subjects.Found.Alive.and.Well","x","y"
"6497",932,"91acb5c8-eeb9-4b72-991f-3d62020d0fbf","2.2.0-MRA","Mtn_Rescue_Aspen","Rocky Mountain Region","d8c7e018-d5bf-43d6-a52f-b40c6f8129dc","21P003954 Rim Trail Stranded","RESCUE","4/6/2021 7:00:00 PM",1,"YES",22,58,20,"","WILDERNESS","NATIONAL_FOREST",2,"HIKING",35,"MALE","UNKNOWN","UNKNOWN",2,-106.9451,39.2171000000001
"6555",8071,"e4a2cc36-4b61-4be8-b692-84c420305d23","2.2.0-MRA","Mtn_Rescue_Aspen","Rocky Mountain Region","0f829ee8-cbdb-4602-9840-46272cc157ea","2OP14976 Lorax trail Lost Hikers","SEARCH","8/21/2020 9:00:00 PM",1,"YES",9,37,50,"","WILDERNESS","NATIONAL_FOREST",2,"HIKING",26,"FEMALE","UNKNOWN","UNKNOWN",2,-107.27,39.3491700000001
"6557",20898,"fa8690d0-e254-4785-8010-6ec25dee8a5d","3.0.0-MRA","Mtn_Rescue_Aspen","Rocky Mountain Region","725ec37f-30b3-4384-a77b-a56e82c842a1","22P013801 Betty Bear Exhausted","RESCUE","12/30/2022 12:00:00 AM",1,"YES",19,84,100,"","WILDERNESS","NATIONAL_FOREST",1,"SNOW_SKIING",38,"FEMALE","FAIR","FAIR",1,-106.53768,39.25725
"6572",2996,"64d48b08-f5da-4022-8196-a861fbd22f5f","3.0.0-MRA","Rocky_Mtn_Rescue_Group","Rocky Mountain Region","86cadeab-809d-4ce1-84a3-959a94d83e6d","2022013","RESCUE","3/25/2022 1:24:00 AM",1,"YES",11,11,88,"","WILDERNESS","CITY",1,"HIKING",25,"MALE","","",0,-105.2891,39.99
"6574",2747,"be187621-294a-43a5-8415-ef260e1ca446","3.0.0-MRA","Rocky_Mtn_Rescue_Group","Rocky Mountain Region","d5645cf6-6266-4dd3-886f-40b801d13fba","2022005","RESCUE","1/26/2022 4:33:00 PM",1,"YES",10,15,35,"","WILDERNESS","CITY",1,"HIKING",32,"FEMALE","","",0,-105.287021000536,39.9904254810461
"6626",4384,"728b96f2-6170-4327-8669-828f0037a1d0","","Vail_Mtn_Rescue_Group","Rocky Mountain Region","4C497176-10B5-404D-97E5-9F9254210DEA","501","SWIFTWATER_RESCUE","5/19/2018 9:15:00 PM",1,"YES",10,27,0,"","WATER","NATIONAL_FOREST",3,"CANOEING_KAYAKING_RAFTING",40,"MALE","GOOD","EXCELLENT",3,-106.71155,39.70887
"6630",1273,"436f60ec-197d-42af-8757-007a6bf0642b","3.0.0-MRA","Mtn_Rescue_Aspen","Rocky Mountain Region","8ace7155-addb-449e-bd5e-86bd634c0d25","21P012713 Capitol/Hell Roaring Overdue Hunters","RESCUE","9/22/2021 10:30:00 PM",1,"YES",30,129,40,"","WILDERNESS","NATIONAL_FOREST",1,"HUNTING",31,"MALE","GOOD","GOOD",0,-106.86783,39.11977
"6710",20849,"18f855a6-bae0-4584-8a0a-65b0c2de7004","3.0.0-MRA","Larimer_County_SAR","Rocky Mountain Region","2e95b5cf-9400-4817-aabd-fb39e5562758","Palisade Mountain Missing Man","SEARCH","5/5/2022 6:51:00 AM",1,"YES",2,1,0,"","WILDERNESS","NATIONAL_FOREST",1,"OTHER",26,"MALE","UNKNOWN","UNKNOWN",1,-105.3111,40.4402600000001
"6779",20998,"faca2d9d-e633-48ab-80ff-4cd81d76cb17","3.0.0-MRA","Rocky_Mtn_Rescue_Group","Rocky Mountain Region","018fd1c7-5496-4488-8d8c-b26ab32eb85d","2022072","RESCUE","6/22/2022 3:10:00 PM",1,"YES",13,32,260,"","WILDERNESS","STATE",2,"CLIMBING",58,"FEMALE","","",1,-105.283790364913,39.9315107944421
"6918",6591,"6ea828fa-3963-4991-be71-fef73aa39c94","2.1.0-MRA","Larimer_County_SAR","Rocky Mountain Region","16f2259e-d197-4b5b-bebd-15fc6076bd75","2019.07.25 Assist to ROMO for Pruitt search (#8)","SEARCH","7/25/2019 2:00:00 PM",1,"NO",1,11,90,"","WILDERNESS","NATIONAL_PARK/MONUMENT",1,"HIKING",70,"MALE","","",0,-105.559316307,40.363954081
"6989",21107,"615fced1-202e-4fc4-8ef9-c15fb22b8af9","3.0.0-MRA","Larimer_County_SAR","Rocky Mountain Region","65cf41e2-3d0f-47e0-b85f-6a76b3ea8f05","LCSAR Mission Dunraven Carryout","RESCUE","9/23/2023 8:05:00 PM",1,"YES",14,28,1120,"","WILDERNESS","NATIONAL_FOREST",1,"HIKING",66,"MALE","UNKNOWN","UNKNOWN",0,-105.46638,40.47776
"7000",7447,"5bf58a3b-3207-454e-961f-7925528eda37","","Larimer_County_SAR","Rocky Mountain Region","59AE40D4-2693-4C80-8B47-4BE4565BC0FC","2019.07.29 Rawahs missing hikers","SEARCH","7/29/2019 10:25:00 PM",1,"YES",9,13,270,"","WILDERNESS","NATIONAL_FOREST",2,"CAMPING",45,"MALE","UNKNOWN","UNKNOWN",2,-105.855524678,40.672826193
"7057",22529,"94442a79-662c-480e-8a08-7630179a9f37","3.0.0-MRA","Rocky_Mtn_Rescue_Group","Rocky Mountain Region","fb6116f4-2a9b-4da4-ad96-b8ff1674ae9a","2022134","RESCUE","9/7/2022 8:00:00 PM",1,"YES",11,22,143,"","WILDERNESS","CITY",1,"CLIMBING",61,"MALE","","",0,-105.288947319414,39.9739947568454
"7058",5217,"8ee1d126-9057-4e4e-807b-d1513463fbbf","","Vail_Mtn_Rescue_Group","Rocky Mountain Region","81F39B1D-F5DB-44D4-8D57-023D5D2F40E2","00644","SEARCH","9/3/2018 6:04:00 PM",1,"YES",10,5,30,"AIRCRAFT-HELICOPTER","WILDERNESS","NATIONAL_FOREST",2,"HIKING",30,"MALE","GOOD","GOOD",2,-106.31898,39.75037
"7132",6497,"48c7fd69-77b5-40f5-8536-e581a3eb6a91","2.1.0-MRA","Larimer_County_SAR","Rocky Mountain Region","87b6785a-42fa-4071-9e26-2b1bd900c1b1","2019.03.01 Martin Park, Boulder assist","SEARCH","3/1/2019 4:00:00 PM",1,"NO",1,2,90,"","URBAN","CITY",1,"CHILD_AGE_0-15",12,"MALE","","",1,-105.2511795,39.9889440000001
"7184",1187,"13014c32-7c2e-466b-82be-d9dba81224ad","3.0.0-MRA","Mtn_Rescue_Aspen","Rocky Mountain Region","bcd9c67a-122d-4df5-b93c-ad8ba0da738d","21P010138 Hays Creek Falls","RESCUE","8/1/2021 12:30:00 AM",1,"YES",20,76,50,"","WILDERNESS","NATIONAL_FOREST",1,"HIKING",26,"FEMALE","FAIR","FAIR",1,-107.25289,39.15834
"7198",20823,"48c12025-cc5f-47a1-8875-a75914532fe0","3.0.0-MRA","Larimer_County_SAR","Rocky Mountain Region","3618e59d-329c-4dfc-810b-1d9eb608acbd","Mountain Park Lost Child","SEARCH","9/4/2021 7:24:00 PM",1,"YES",2,1,0,"","WILDERNESS","NATIONAL_FOREST",1,"CAMPING",5,"MALE","UNKNOWN","UNKNOWN",1,-105.466025008571,40.6821449942338
"7209",5618,"871c4871-ea4a-4395-a8a3-73ed2975a3be","","Chaffee_County_SAR_North","Rocky Mountain Region","AFFF6A7D-A14B-40A8-8F35-8B3A8110AD21","018-2018","RESCUE","6/26/2018 9:25:00 PM",1,"YES",17,19,118,"","RURAL","NATIONAL_FOREST",1,"HORSEBACK_RIDING",11,"FEMALE","UNKNOWN","UNKNOWN",0,-106.24338,38.8019600000001
"7247",5624,"caaee152-bd55-4298-be49-c46ae824b4df","","Chaffee_County_SAR_North","Rocky Mountain Region","C84FEC2F-7EB2-4769-873E-B4789483F0E9","040-2018","RESCUE","9/8/2018 11:59:00 PM",1,"YES",8,10,115,"","WILDERNESS","BLM",1,"HIKING",19,"MALE","UNKNOWN","UNKNOWN",0,-106.11942,38.84673
"7262",3626,"36190f21-7e46-41ed-87db-0adf3c3658cb","3.0.0-MRA","Rocky_Mtn_Rescue_Group","Rocky Mountain Region","a08c005c-f970-4c1c-97a3-80bdaa7d6561","2022043","RESCUE","5/14/2022 6:05:00 PM",1,"YES",11,17,77,"","WILDERNESS","CITY",1,"HIKING",29,"FEMALE","","",0,-105.291186152114,39.9838248071256
"7349",8961,"e0a5eea3-6e56-4409-86c4-4c4db0a18c45","2.2.0-MRA","Vail_Mtn_Rescue_Group","Rocky Mountain Region","c1d9bc35-49f2-4e78-9d41-2012040f3b8b","01496","SWIFTWATER_RESCUE","6/20/2020 8:30:00 PM",1,"YES",6,9,0,"","WATER","BLM",1,"CANOEING_KAYAKING_RAFTING",0,"MALE","UNKNOWN","UNKNOWN",0,-106.914551079,39.654851057
"7390",6900,"cc1bb443-3658-4c4c-ba9a-f54b6beee5b5","2.1.1-MRA","Chaffee_County_SAR_North","Rocky Mountain Region","bc67ce82-90ac-457b-89dd-504dbfc9e609","2019-033 Missouri","RESCUE","7/30/2019 5:17:00 PM",1,"YES",0,0,0,"AIRCRAFT-HELICOPTER","WILDERNESS","NATIONAL_FOREST",3,"HIKING",21,"","UNKNOWN","UNKNOWN",3,-106.375083,38.9496100000001
"7394",6236,"6b86658d-4ff3-4541-b89b-1a35d5ad58d4","2.1.0-MRA","Park_County_SAR","Rocky Mountain Region","bc6a38e0-6ee2-421b-973b-c7fdc243dbdd","Watrous Gulch","RESCUE","9/22/2019 2:05:00 AM",1,"YES",5,26,262,"","RURAL","NATIONAL_FOREST",1,"HUNTING",68,"MALE","GOOD","GOOD",0,-106.12,39.1100000000001
"7405",2916,"0a27ebac-80f2-44b9-8048-ed35ed77e8fb","3.0.0-MRA","Rocky_Mtn_Rescue_Group","Rocky Mountain Region","58849a79-96ba-4e20-b67e-39623ff353c0","2022011","RESCUE","3/13/2022 9:10:00 PM",1,"YES",10,10,60,"","WILDERNESS","CITY",1,"HIKING",23,"Female","","",0,-105.297221010801,40.0170537901929
"7532",6706,"8791535f-981d-4039-90d0-c93e10d7fa83","2.1.1-MRA","Vail_Mtn_Rescue_Group","Rocky Mountain Region","90d8b1cd-fa79-40d2-bbff-a9b62ee6afe9","Muddy Pass Avalanche Recovery ","AVALANCHE","2/15/2020 11:30:00 PM",2,"YES",14,160,100,"","WILDERNESS","NATIONAL_FOREST",2,"SNOWMOBILING",28,"MALE","UNKNOWN","UNKNOWN",0,-106.470412986,39.6902395500001
"7536",3611,"d6cd6497-353a-4e97-86a9-84ca19bdd354","3.0.0-MRA","Rocky_Mtn_Rescue_Group","Rocky Mountain Region","e8392fb0-b14a-409a-adcc-172f19812135","2022028","RESCUE","4/22/2022 12:05:00 AM",1,"YES",10,5,180,"","WILDERNESS","STATE",1,"CLIMBING",26,"FEMALE","","",1,-105.282754948414,39.9326461533528
"7614",2924,"b50ea069-8c58-4858-8b30-f804f8624e9e","3.0.0-MRA","Park_County_SAR","Rocky Mountain Region","089f33e7-2a84-4731-a4b6-a30246b56dbd","20220214 Clear Creek Mutual Aid","SEARCH","2/14/2022 9:10:00 PM",1,"NO",3,19,280,"","WILDERNESS","PRIVATE",1,"RUNAWAY",30,"female","UNKNOWN","UNKNOWN",0,-105.59921,39.76288
"7678",8735,"da57168e-d447-4fb7-82c7-dfbd5c0ec978","2.2.0-MRA","Fremont_SAR","Rocky Mountain Region","781d5f31-46dc-4a4e-933a-c3b7c4fc9988","02022020_1","SEARCH","2/2/2020 4:00:00 PM",1,"NO",2,10,150,"","RURAL","OTHER",1,"OTHER",12,"MALE","UNKNOWN","UNKNOWN",0,-104.768451603,39.113318167
"7802",4112,"a1b1fcfd-938c-4140-aa6c-1b2ab0171c7e","","Fremont_SAR","Rocky Mountain Region","6F7808B4-3D95-4A9A-8D62-B37F161D7B8D","2018-14","SEARCH","4/27/2018 5:00:00 AM",1,"YES",1,2,0,"","RURAL","PRIVATE",1,"OTHER",50,"FEMALE","UNKNOWN","UNKNOWN",1,-105.83039,38.43319
"7807",7948,"5611f69d-3906-4fb8-950a-6b18f56a1679","2.1.2-MRA","Mtn_Rescue_Aspen","Rocky Mountain Region","93cc26d0-c726-41fc-8ea5-30b07ddc9396","20P012396 Traingle / Arbaney Overdue","SEARCH","7/12/2020 11:44:00 PM",1,"YES",16,22,0,"","WILDERNESS","NATIONAL_FOREST",1,"HIKING",74,"MALE","FAIR","FAIR",1,-106.92697,39.30035
"7823",3620,"3405496d-ccd0-46eb-82f0-463413ed9e7b","3.0.0-MRA","Rocky_Mtn_Rescue_Group","Rocky Mountain Region","edf78129-d53b-4832-8095-9557255abd9c","2022037","RECOVERY","5/5/2022 8:07:00 PM",1,"YES",9,36,189,"","WILDERNESS","COUNTY",1,"OTHER",27,"FEMALE","","",0,-105.418006310313,39.9943660845995
"7828",6620,"35675bd8-7cb9-4760-a3b8-fa3225075d85","2.1.0-MRA","Larimer_County_SAR","Rocky Mountain Region","06c6cd36-f098-4895-a102-f5f1c679899d","2018.06.27 RFL Missing 13YOM","SEARCH","6/27/2018 1:01:00 PM",1,"YES",15,38,980,"","RURAL","COUNTY",1,"CAMPING",13,"MALE","UNKNOWN","UNKNOWN",1,-105.558101885,40.801218551
"7878",5678,"9d2ba240-93d0-43b6-894b-8b035ba72eba","","Chaffee_County_SAR_North","Rocky Mountain Region","0E6A9C29-9522-4C26-8D4F-D27100DA7C88","033-2018","RESCUE","7/30/2018 12:40:00 AM",1,"YES",6,9,79,"","WILDERNESS","NATIONAL_FOREST",3,"HIKING",66,"MALE","UNKNOWN","POOR",2,-106.37836,38.9489800000001
"7885",1012,"3d3471e3-28c8-4447-b30f-85dedbe40be2","2.2.0-MRA","Mtn_Rescue_Aspen","Rocky Mountain Region","1328482b-1f8b-4eeb-922e-f66b03c96b3e","21P004535 McNamara Skier","RESCUE","4/18/2021 9:15:00 PM",1,"YES",13,66,100,"","WILDERNESS","NATIONAL_FOREST",1,"SNOW_SKIING",54,"FEMALE","UNKNOWN","UNKNOWN",0,-106.7649,39.2291000000001
"7959",4499,"4bb04095-e489-4201-aa7a-cd7805029150","","Vail_Mtn_Rescue_Group","Rocky Mountain Region","CF085472-43E3-4FBA-B259-3A9D95D2EA8D","00421","SEARCH","3/2/2018 12:45:00 AM",1,"YES",6,48,0,"","WILDERNESS","NATIONAL_FOREST",1,"SNOWBOARDING",35,"MALE","UNKNOWN","UNKNOWN",1,-106.29537,39.3832200000001
"8031",10796,"a60a67f2-c45e-4fe3-91e0-d7f8b96a5d15","2.2.0-MRA","Park_County_SAR","Rocky Mountain Region","90dc78e3-d421-4efc-9e37-54e41529b62e","042721 Four Mile Runaway","SEARCH","4/28/2021 2:12:00 AM",1,"YES",1,0,0,"","RURAL","PRIVATE",1,"RUNAWAY",13,"MALE","UNKNOWN","UNKNOWN",1,-105.9828,39.1414
"8045",23485,"4341cad3-45c9-4a58-8307-6c6b2a3b4ab9","3.0.0-MRA","Larimer_County_SAR","Rocky Mountain Region","24b9d780-4168-4912-ae41-6e9e8ae29c5a","2023.01.14 Eagle's Nest Carryout","RESCUE","1/14/2023 4:27:00 PM",1,"YES",14,7,28,"","WILDERNESS","COUNTY",1,"HIKING",34,"FEMALE","UNKNOWN","UNKNOWN",0,-105.22975,40.77108
"8046",20829,"458de890-cbe1-4557-8869-c68cc3dce180","3.0.0-MRA","Larimer_County_SAR","Rocky Mountain Region","94273ff5-269b-4777-9266-2d2adf1d5d4e","Fort Collins Residential 17 yof Runaway","SEARCH","10/16/2021 7:35:00 AM",1,"YES",6,12,102,"","SUBURBAN","CITY",1,"RUNAWAY",17,"FEMALE","UNKNOWN","UNKNOWN",1,-105.036,40.5319
"8095",1198,"e2f2dc94-ef36-4e28-8c50-6303aef85b9b","3.0.0-MRA","Mtn_Rescue_Aspen","Rocky Mountain Region","351b9c0e-be6f-4568-b45e-af69fe14de4d","21P011125 Missing Hiker Crater Lake","SEARCH","8/18/2021 12:15:00 AM",2,"YES",17,67,30,"","WILDERNESS","NATIONAL_FOREST",1,"HIKING",30,"MALE","GOOD","FAIR",1,-106.96467,39.0874
"8105",2621,"fb98d28e-d323-4877-836e-86a61988bd51","3.0.0-MRA","Park_County_SAR","Rocky Mountain Region","a9160b6c-d9da-4b9a-a641-fa28b34257aa","North Fork TH II","RESCUE","5/8/2021 11:13:00 PM",0,"YES",4,20,258,"","WILDERNESS","NATIONAL_FOREST",2,"SNOW_SHOEING",32,"FEMALE","GOOD","FAIR",2,-105.5153,39.3068
"8109",6202,"ad2b8a14-1ee3-494b-9c14-2f745594ebf9","2.1.0-MRA","Vail_Mtn_Rescue_Group","Rocky Mountain Region","b83cae9e-ee7c-4f9f-99d3-a35bc5a272b2","#1288","RESCUE","12/25/2019 9:15:00 PM",1,"YES",7,58,90,"","WILDERNESS","NATIONAL_FOREST",1,"SNOWMOBILING",51,"MALE","POOR","GOOD",1,-106.609345841,39.7249653060001
"8178",6225,"3e11fd00-1618-42af-ab80-deb9ddec4563","2.1.0-MRA","Park_County_SAR","Rocky Mountain Region","56237d1e-475b-4646-8e71-fd5fd3d2ba58","Mt Bross","RESCUE","8/6/2019 9:30:00 PM",1,"YES",7,2,0,"","WILDERNESS","NATIONAL_FOREST",1,"MOUNTAINEERING",34,"FEMALE","GOOD","FAIR",1,-106.11,39.34
"8182",1719,"322a2f58-5676-4907-8582-d7032b982330","3.0.0-MRA","Park_County_SAR","Rocky Mountain Region","393a1a8d-71cf-4738-b1d7-f3f29d47acc8","20210926 Tarryall Campground Overdue UTVer","SEARCH","9/26/2021 7:10:00 AM",1,"YES",1,0,0,"","WILDERNESS","NATIONAL_FOREST",2,"OHV/ATV",42,"MALE","UNKNOWN","UNKNOWN",2,-105.61475,39.22836
"8229",8738,"38d996fd-81af-4447-b315-cc7e511cf967","2.2.0-MRA","Fremont_SAR","Rocky Mountain Region","2d8aab0a-e3ca-4016-b7f0-91935c33c061","05022020_1","AVALANCHE","5/2/2020 9:00:00 PM",1,"NO",2,18,150,"AIRCRAFT-HELICOPTER","WILDERNESS","NATIONAL_FOREST",1,"HIKING",20,"FEMALE","EXCELLENT","FAIR",0,-105.617866871,38.137675056
"8233",22469,"0796adb7-f624-447d-8d4b-2ad95eb3bc6b","3.0.0-MRA","Park_County_SAR","Rocky Mountain Region","c88b571f-8cd8-4e43-a203-730b369ad21a","230306_Guffey_FedEx_Driver","RESCUE","3/7/2023 4:38:00 AM",1,"YES",3,12,15,"","WILDERNESS","NATIONAL_FOREST",1,"DRIVING",58,"MALE","POOR","POOR",1,-105.64594,38.84723
"8238",8148,"b5ee9d77-47ef-4f18-8c69-446fea060c68","2.2.0-MRA","Vail_Mtn_Rescue_Group","Rocky Mountain Region","1e8b2baf-4846-4c4c-98a2-f134bd0d6d92","01621","SEARCH","9/25/2020 3:00:00 AM",1,"YES",3,5,0,"","WILDERNESS","NATIONAL_FOREST",2,"HIKING",50,"MALE","","UNKNOWN",2,-106.446721769,39.470917071
"8240",6488,"226f5645-af8f-4f4b-b1aa-8f6b9212370e","2.1.0-MRA","Larimer_County_SAR","Rocky Mountain Region","41b9d2df-6137-4bd7-8efd-b1e9af65d07a","2019.07.13 Mosquito Creek, Fairplay CO assist","SEARCH","7/3/2019 3:00:00 PM",1,"NO",1,5,300,"","RURAL","COUNTY",1,"OTHER",30,"MALE","","",0,-106.069069208,39.2964733270001
"8241",8074,"96c2e271-f219-4a16-be8d-f7519e689eea","2.2.0-MRA","Mtn_Rescue_Aspen","Rocky Mountain Region","4fd97de5-8207-4761-95fd-c5ff760eb1b4","20P014479 Maroon Peak Trail Injured Girl","RESCUE","8/13/2020 10:15:00 PM",1,"YES",16,36,50,"","WILDERNESS","NATIONAL_FOREST",1,"HIKING",10,"FEMALE","UNKNOWN","UNKNOWN",1,-106.98469,39.06278
"8247",4493,"3ff69976-3764-4b56-9ec7-7638adf96c9b","","Vail_Mtn_Rescue_Group","Rocky Mountain Region","311DA24A-ED54-4B7B-9F68-FA5F9B71934E","00342","RESCUE","1/14/2018 10:30:00 PM",1,"YES",9,46,0,"","WILDERNESS","BLM",1,"SNOWBOARDING",35,"MALE","UNKNOWN","UNKNOWN",1,-106.40547,39.6075500000001
"8266",20809,"60203c8d-eacd-48f4-8072-4655665e2a59","3.0.0-MRA","Larimer_County_SAR","Rocky Mountain Region","1c284d04-1eea-4beb-b775-b0f4a9f29f5b","Loveland Residential Dementia Walkaway","SEARCH","7/8/2021 2:44:00 AM",1,"YES",16,28,308,"AIRCRAFT-UAV","RURAL","COUNTY",1,"ALZHEIMERS/DEMENTIA",69,"FEMALE","UNKNOWN","UNKNOWN",1,-105.081029794627,40.4647373378547
"8309",2097,"067e9184-44ec-4c26-8e7a-8919ee4a3ec9","3.0.0-MRA","Fremont_SAR","Rocky Mountain Region","f91b2575-2711-4f8f-8d17-650847a2b8f1","09042021_2","SEARCH","9/4/2021 8:00:00 PM",1,"YES",12,24,350,"","RURAL","NATIONAL_FOREST",2,"CHILD_AGE_0-15",6,"MALE","UNKNOWN","UNKNOWN",2,-105.51057921875,38.3942762623605
"8313",3142,"9e27fb51-62cd-453b-8648-6a3510d21928","3.0.0-MRA","Park_County_SAR","Rocky Mountain Region","856f0663-9c8f-4c70-8249-2ddf0d444dd4","220530 - Mosquito Pass - Stuck Vehicle","RESCUE","5/30/2022 12:45:00 PM",1,"YES",17,68,48,"","RURAL","NATIONAL_FOREST",4,"FOUR_WHEEL_DRIVING",34,"MALE","UNKNOWN","POOR",4,-106.146123134252,39.2743967216413
"8320",5134,"4f1062f0-9a9e-4409-99c3-51b2fe0f322e","","Vail_Mtn_Rescue_Group","Rocky Mountain Region","11A5B84C-FC42-45CF-AA27-D76D8B56BE35","00610","SEARCH","8/8/2018 6:01:00 AM",1,"YES",17,21,80,"AIRCRAFT-HELICOPTER,AIRCRAFT-UAV","WILDERNESS","NATIONAL_FOREST",1,"HIKING",58,"FEMALE","GOOD","FAIR",1,-106.53442,39.45831
"8324",22495,"acf0c490-c60b-4ba5-862e-fb39937d5b46","3.0.0-MRA","Rocky_Mtn_Rescue_Group","Rocky Mountain Region","d4e9462f-a0dc-4e11-a773-ead2e0fb1075","2022105","RESCUE","8/5/2022 5:51:00 PM",1,"YES",12,33,72,"","WILDERNESS","CITY",1,"HIKING",18,"","","",0,-105.291689,39.9821
"8380",4610,"e2d42c17-6051-469b-ac7d-6db9bf202b26","","Chaffee_County_SAR_North","Rocky Mountain Region","E5BC7C97-314A-4282-953C-FB17AFEE5781","2018-007","RESCUE","5/11/2018 1:30:00 PM",1,"NO",4,2,30,"AIRCRAFT-HELICOPTER","WILDERNESS","NATIONAL_FOREST",1,"HIKING",55,"MALE","UNKNOWN","UNKNOWN",1,-106.2584,38.44244
"8394",8452,"6061c88f-8771-4da9-a4d9-40fd65676c80","2.2.0-MRA","Park_County_SAR","Rocky Mountain Region","7fd8e6b2-7ac8-4898-999b-e551ad540cf1","Slaughterhouse Gulch Overdue","SEARCH","12/13/2020 1:02:00 AM",1,"YES",7,41,36,"","WILDERNESS","NATIONAL_FOREST",3,"FOUR_WHEEL_DRIVING",17,"MALE","GOOD","FAIR",3,-105.5609,39.4643
"8409",6608,"37f54a40-16e5-4e19-a466-4f53f0d42ec1","2.1.0-MRA","Larimer_County_SAR","Rocky Mountain Region","dc9ebe5c-c374-49d9-9405-c1f6ae5a5638","2018.05.26 Jacks Gulch B17","SEARCH","5/27/2018 2:03:00 AM",1,"YES",2,2,0,"","WILDERNESS","NATIONAL_FOREST",1,"HIKING",22,"MALE","","",0,-105.523817398,40.6372169970001
"8447",3477,"6fb1d578-5cfa-4ab4-8084-bc8758f3aae9","3.0.0-MRA","Park_County_SAR","Rocky Mountain Region","3efcd699-c4a0-4e7e-adaf-0ac000316ad7","220713 Mt Sherman","RESCUE","7/15/2022 6:34:00 PM",1,"YES",10,2,0,"","WILDERNESS","NATIONAL_FOREST",1,"HIKING",24,"MALE","GOOD","GOOD",1,-106.18057,39.21887
"8487",8744,"ec3d139b-8bca-4f0a-ad85-61f74a905f82","2.2.0-MRA","Fremont_SAR","Rocky Mountain Region","b139ab06-02d3-4831-b373-26d326adea73","05162020_3","MEDICAL_AID","5/17/2020 1:00:00 AM",1,"NO",2,3,0,"","WILDERNESS","NATIONAL_FOREST",1,"HIKING",27,"MALE","EXCELLENT","EXCELLENT",1,-105.045341404,38.650298278
"8518",2080,"cbc82442-bc2f-4034-8f54-54d14d2a3bdc","3.0.0-MRA","Fremont_SAR","Rocky Mountain Region","28c270f3-539a-49f7-bf1f-3bae54c35935","022221_1","SEARCH","2/22/2021 3:00:00 PM",1,"YES",1,4,0,"","WILDERNESS","PRIVATE",1,"HIKING",21,"MALE","UNKNOWN","UNKNOWN",1,-105.912422934419,38.4980424447843
"8552",7413,"e0ed863f-205e-4cd6-85c7-4d1681b3c0fd","","Larimer_County_SAR","Rocky Mountain Region","FE01694C-0229-4B18-88D1-90093E245F89","2019.06.19 Bulwark Ridge","SEARCH","6/20/2019 2:40:00 AM",2,"YES",19,200,1100,"","WILDERNESS","NATIONAL_FOREST",1,"HIKING",60,"MALE","GOOD","UNKNOWN",1,-105.42958,40.4575600000001
"8595",2103,"9664b280-86da-4829-8196-4382817c85ac","3.0.0-MRA","Fremont_SAR","Rocky Mountain Region","9098b6bc-42e4-41cc-911b-b942718bce68","11272021_1","SEARCH","11/27/2021 10:00:00 PM",1,"YES",4,8,0,"","WILDERNESS","BLM",1,"OHV/ATV",31,"MALE","FAIR","POOR",1,-105.042256105957,38.4712030592841
"8607",7931,"02a40133-f1ca-40e6-b19e-36a8e4c55887","2.1.1-MRA","Mtn_Rescue_Aspen","Rocky Mountain Region","af67f5df-fe2b-4f1e-866a-ba90cbd1ee44","20P011691 Thomas Lakes Medical","RESCUE","7/2/2020 7:30:00 PM",1,"YES",8,28,30,"","WILDERNESS","NATIONAL_FOREST",1,"HIKING",46,"FEMALE","UNKNOWN","UNKNOWN",1,-107.1254,39.29416
"8609",8054,"11aac582-ed25-4bd7-9d95-4b0309a6f612","2.2.0-MRA","Mtn_Rescue_Aspen","Rocky Mountain Region","f75458af-5baf-4d2d-99d0-2fe7a94082ba","20P012892 Crater Lake Ankle","RESCUE","8/6/2020 11:00:00 PM",1,"YES",17,46,100,"","WILDERNESS","NATIONAL_FOREST",1,"HIKING",35,"FEMALE","GOOD","GOOD",0,-106.96019,39.0902
"8617",7882,"6d9b95f4-8484-4e95-ae2d-ae65435f693b","2.1.1-MRA","Vail_Mtn_Rescue_Group","Rocky Mountain Region","630f9862-d141-4a53-aa01-3185aa5f84f1","01354","AVALANCHE","2/15/2020 10:30:00 PM",2,"YES",14,224,180,"","WILDERNESS","NATIONAL_FOREST",2,"OTHER",21,"MALE","GOOD","GOOD",0,-106.4703,39.6897000000001
"8619",2054,"9efba21c-155c-475f-8d68-80abb93e09cc","3.0.0-MRA","Vail_Mtn_Rescue_Group","Rocky Mountain Region","d877355b-4dcd-4f7c-9080-5ad20a94e4b7","1955","RESCUE","6/13/2021 5:06:00 PM",1,"YES",3,4,0,"","WILDERNESS","NATIONAL_FOREST",1,"BIKING",40,"MALE","","",1,-106.54678,39.64252
